CP008701.1
CP019078.1
CP019080.1
CP023135.2
CP023136.2
CP023137.2
CP023503.1
CP024579.1
CP024580.1
CP024581.1
CP025212.1
CP025213.1
CP025214.1
CP025215.1
CP025516.1
CP025517.1
CP025637.1
CP025638.1
CP025817.1
CP025818.1
CP026582.2
CP026583.2
CP026584.1
CP028916.1
CP029217.1
CP029218.1
CP029219.1
CP029428.1
CP029429.1
CP029430.1
CP029431.1
CP029433.1
CP029434.1
CP029435.1
CP029436.1
CP029438.1
CP029439.1
CP029440.1
CP029441.1
CP029442.1
NC_006625.1
NC_009649.1
NC_009650.1
NC_009651.1
NC_009652.1
NC_009653.1
NC_011281.1
NC_011282.1
NC_016838.1
NC_016839.1
NC_016840.1
NC_016841.1
NC_016846.1
NC_016847.1
NC_017541.1
NC_018107.1
NC_020180.1
NC_020182.1
NC_021231.1
NC_021501.1
NC_022078.1
NC_022083.1
NZ_AP014952.1
NZ_AP014953.1
NZ_AP014954.1
NZ_AP014955.1
NZ_CP003994.1
NZ_CP003995.1
NZ_CP003996.1
NZ_CP003997.1
NZ_CP003998.1
NZ_CP004000.1
NZ_CP006660.1
NZ_CP006661.1
NZ_CP006662.2
NZ_CP006663.1
NZ_CP006799.1
NZ_CP006800.1
NZ_CP006801.1
NZ_CP006802.1
NZ_CP006919.1
NZ_CP006921.1
NZ_CP006922.1
NZ_CP006924.1
NZ_CP006925.1
NZ_CP006926.1
NZ_CP006927.1
NZ_CP006928.1
NZ_CP007728.1
NZ_CP007729.1
NZ_CP007730.1
NZ_CP007732.1
NZ_CP007733.1
NZ_CP007734.1
NZ_CP007735.1
NZ_CP007736.1
NZ_CP008789.1
NZ_CP008790.1
NZ_CP008791.1
NZ_CP008798.1
NZ_CP008799.1
NZ_CP008800.1
NZ_CP008828.1
NZ_CP008829.1
NZ_CP008830.1
NZ_CP008832.1
NZ_CP008833.1
NZ_CP008842.1
NZ_CP008843.1
NZ_CP008844.1
NZ_CP008845.1
NZ_CP008930.1
NZ_CP008931.1
NZ_CP008932.1
NZ_CP008933.1
NZ_CP009115.1
NZ_CP009116.1
NZ_CP009275.1
NZ_CP009276.1
NZ_CP009772.1
NZ_CP009773.1
NZ_CP009774.1
NZ_CP009776.1
NZ_CP009777.1
NZ_CP009778.1
NZ_CP009864.1
NZ_CP009865.1
NZ_CP009873.1
NZ_CP009874.1
NZ_CP009875.1
NZ_CP009877.1
NZ_CP009878.1
NZ_CP009879.1
NZ_CP010393.1
NZ_CP010394.1
NZ_CP010395.1
NZ_CP010396.1
NZ_CP010574.1
NZ_CP010575.1
NZ_CP010576.1
NZ_CP011314.1
NZ_CP011315.1
NZ_CP011316.1
NZ_CP011540.1
NZ_CP011573.1
NZ_CP011575.1
NZ_CP011576.1
NZ_CP011577.1
NZ_CP011592.1
NZ_CP011593.1
NZ_CP011594.1
NZ_CP011595.1
NZ_CP011596.1
NZ_CP011613.1
NZ_CP011614.1
NZ_CP011615.1
NZ_CP011616.1
NZ_CP011617.1
NZ_CP011619.1
NZ_CP011620.1
NZ_CP011621.1
NZ_CP011622.1
NZ_CP011623.1
NZ_CP011625.1
NZ_CP011626.1
NZ_CP011627.1
NZ_CP011628.1
NZ_CP011629.1
NZ_CP011630.1
NZ_CP011631.1
NZ_CP011632.1
NZ_CP011633.1
NZ_CP011634.1
NZ_CP011635.1
NZ_CP011643.1
NZ_CP011644.1
NZ_CP011645.1
NZ_CP011646.1
NZ_CP011839.1
NZ_CP011977.1
NZ_CP011978.1
NZ_CP011979.1
NZ_CP011981.1
NZ_CP011982.1
NZ_CP011983.1
NZ_CP011984.1
NZ_CP011986.1
NZ_CP011987.1
NZ_CP011988.1
NZ_CP011990.1
NZ_CP011991.1
NZ_CP011992.1
NZ_CP011993.1
NZ_CP012427.1
NZ_CP012428.1
NZ_CP012429.1
NZ_CP012562.1
NZ_CP012563.1
NZ_CP012564.1
NZ_CP012565.1
NZ_CP012566.1
NZ_CP012567.1
NZ_CP012569.1
NZ_CP012570.1
NZ_CP012571.1
NZ_CP012572.1
NZ_CP012754.1
NZ_CP012755.1
NZ_CP012884.1
NZ_CP012988.3
NZ_CP012989.1
NZ_CP012990.1
NZ_CP012991.1
NZ_CP012993.2
NZ_CP012994.1
NZ_CP012995.1
NZ_CP013321.1
