GCA_000821365.1
GCA_000821385.1
GCA_000821405.1
GCA_000821425.1
GCA_000821445.1
GCA_000821465.1
GCA_000821485.1
GCA_000821505.1
GCA_000821525.1
GCA_000821545.1
GCA_000821565.1
GCA_000821585.1
GCA_000821605.1
GCA_000821625.1
GCA_000821645.1
GCA_000821665.1
GCA_000821685.1
GCA_000821705.1
GCA_000821725.1
GCA_000821745.1
GCA_000821765.1
GCA_000821785.1
GCA_000821805.1
GCA_000821825.1
GCA_000821845.1
GCA_000821865.1
GCA_000821885.1
GCA_000821905.1
GCA_000821925.1
GCA_000821945.1
GCA_000821965.1
GCA_000821985.1
GCA_000822005.1
GCA_000822025.1
GCA_000822045.1
GCA_000822065.1
GCA_000822085.1
GCA_000822105.1
GCA_000822125.1
GCA_000822145.1
GCA_000822165.1
GCA_000822185.1
GCA_000822205.1
GCA_000822225.1
GCA_000822245.1
GCA_000822265.1
GCA_000822285.1
GCA_000822305.1
GCA_000822325.1
GCA_000822345.1
GCA_000822365.1
GCA_000822385.1
GCA_000822405.1
GCA_000822425.1
GCA_000822445.1
GCA_000822465.1
GCA_000822485.1
GCA_000822505.1
GCA_000822525.1
GCA_000822545.1
GCA_000822565.1
GCA_000822585.1
GCA_000822605.1
GCA_000822625.1
GCA_000822645.1
GCA_000822665.1
GCA_000822685.1
GCA_000822705.1
GCA_000822725.1
GCA_000822745.1
GCA_000822765.1
GCA_000822785.1
GCA_000822805.1
GCA_000822825.1
GCA_000822845.1
GCA_000822865.1
GCA_000822885.1
GCA_000822905.1
GCA_000822925.1
GCA_000822945.1
GCA_000822965.1
GCA_000822985.1
GCA_000823005.1
GCA_000823025.1
GCA_000823045.1
GCA_000823065.1
GCA_000823085.1
GCA_000823105.1
GCA_000823125.1
GCA_001052035.1
GCA_001052045.1
GCA_001052235.1
GCA_001052475.1
GCA_001052515.1
GCA_001052525.1
GCA_001052785.1
GCA_001052825.1
GCA_001053665.1
GCA_001053715.1
GCA_001053845.1
GCA_001053875.1
GCA_001054575.1
GCA_001054755.1
GCA_001054935.1
GCA_001054995.1
GCA_001055015.1
GCA_001055635.1
GCA_001055795.1
GCA_001056275.1
GCA_001056405.1
GCA_001056445.1
GCA_001056485.1
GCA_001056525.1
GCA_001056765.1
GCA_001057405.1
GCA_001057685.1
GCA_001058365.1
GCA_001060105.1
GCA_001060275.1
GCA_001060405.1
GCA_001060495.1
GCA_001060825.1
GCA_001060895.1
GCA_001061315.1
GCA_001061605.1
GCA_001061725.1
GCA_001061755.1
GCA_001061805.1
GCA_001062535.1
GCA_001062915.1
GCA_001063525.1
GCA_001063755.1
GCA_001063775.1
GCA_001063935.1
GCA_001064035.1
GCA_001064955.1
GCA_001065235.1
GCA_001065705.1
GCA_001065715.1
GCA_001065765.1
GCA_001065795.1
GCA_001065835.1
GCA_001065855.1
GCA_001066095.1
GCA_001066115.1
GCA_001066155.1
GCA_001066165.1
GCA_001066265.1
GCA_001066315.1
GCA_001066415.1
GCA_001066505.1
GCA_001066535.1
GCA_001066555.1
GCA_001066585.1
GCA_001066725.1
GCA_001066775.1
GCA_001066805.1
GCA_001067135.1
GCA_001067155.1
GCA_001067475.1
GCA_001067495.1
GCA_001067575.1
GCA_001067585.1
GCA_001067895.1
GCA_001067955.1
GCA_001067975.1
GCA_001068035.1
GCA_001068335.1
GCA_001068855.1
GCA_001070955.1
GCA_001072735.1
GCA_001072835.1
GCA_001076365.1
GCA_001076525.1
GCA_001076675.1
GCA_001076805.1
GCA_001076915.1
GCA_001077175.1
GCA_001077215.1
GCA_001182385.1
GCA_001182405.1
GCA_001182425.1
GCA_001182445.1
GCA_001182465.1
GCA_001182485.1
GCA_001182505.1
GCA_001182525.1
GCA_001182545.1
GCA_001182565.1
GCA_001182585.1
GCA_001182605.1
GCA_001182625.1
GCA_001182645.1
GCA_001182665.1
GCA_001182685.1
GCA_001457255.1
GCA_001457265.1
GCA_001457275.1
GCA_001457285.1
GCA_001457335.1
GCA_001460475.1
GCA_001460495.1
GCA_001460505.1
GCA_001460565.1
GCA_001460575.1
GCA_001460975.1
GCA_001460985.1
GCA_001510995.1
GCA_001511015.1
GCA_001511035.1
GCA_001511055.1
GCA_001511095.1
GCA_001511115.1
GCA_001511135.1
GCA_001511155.1
GCA_001511175.1
GCA_001511195.1
GCA_001511215.1
GCA_001511255.1
GCA_001511275.1
GCA_001511295.1
GCA_001511315.1
GCA_001511335.1
GCA_001511355.1
GCA_001511375.1
GCA_001511395.1
GCA_001511415.1
GCA_001511435.1
GCA_001511455.1
GCA_001511475.1
GCA_001511495.1
GCA_001511535.1
GCA_001511555.1
GCA_001511575.1
GCA_001511595.1
GCA_001511635.1
GCA_001511675.1
GCA_001511695.1
GCA_001511715.1
GCA_001511735.1
GCA_001517715.1
GCA_001517725.1
GCA_001517735.1
GCA_001517745.1
GCA_001517795.1
GCA_001517805.1
GCA_001517955.1
GCA_001596905.1
GCA_001596915.1
GCA_001596925.1
GCA_001596935.1
GCA_001596985.1
GCA_001596995.1
GCA_001597015.1
GCA_001597035.1
GCA_001597065.1
GCA_001597075.1
GCA_001597095.1
GCA_001597115.1
GCA_001597145.1
GCA_001597165.1
GCA_001597175.1
GCA_001597195.1
GCA_001597225.1
GCA_001597245.1
GCA_002179565.1
GCA_002895645.1
GCA_002900015.1
GCA_002900035.1
GCA_002900135.1
GCA_002900145.1
GCA_900076075.1
GCA_900076565.1
GCA_900076735.1
GCA_900083565.1
GCA_900083575.1
GCA_900083585.1
GCA_900083595.1
GCA_900083605.1
GCA_900083615.1
GCA_900083625.1
GCA_900083635.1
GCA_900083645.1
GCA_900083655.1
GCA_900083665.1
GCA_900083675.1
GCA_900083685.1
GCA_900083695.1
GCA_900083705.1
GCA_900083715.1
GCA_900083725.1
GCA_900083735.1
GCA_900083745.1
GCA_900083755.1
GCA_900083765.1
GCA_900083785.1
GCA_900083795.1
GCA_900083805.1
GCA_900083815.1
GCA_900083825.1
GCA_900083835.1
GCA_900083845.1
GCA_900083855.1
GCA_900083865.1
GCA_900083875.1
GCA_900083885.1
GCA_900083895.1
GCA_900083905.1
GCA_900083915.1
GCA_900083935.1
GCA_900083945.1
GCA_900083955.1
GCA_900083965.1
GCA_900083975.1
GCA_900083985.1
GCA_900083995.1
GCA_900084005.1
GCA_900084015.1
GCA_900084025.1
GCA_900084035.1
